Accession	Start	Stop	Tool
NZ_CP008706.1	1109908	1113060	CRISPRDetect
NZ_CP007540.2	965960	967391	CRISPRDetect
NZ_CP007540.2	984153	986318	CRISPRDetect
NZ_CP011110.1	1302098	1303448	CRISPRDetect
NZ_CP011110.1	5688466	5689216	CRISPRDetect
NC_017136.1	123136	124568	CRISPRDetect
NZ_CP012095.1	3080208	3081494	CRISPRDetect
NZ_CP012095.1	3082887	3084684	CRISPRDetect
NZ_CP011308.1	995386	996940	CRISPRDetect
NZ_CP012001.1	1484680	1485488	CRISPRDetect
NZ_CP012001.1	2773971	2775019	CRISPRDetect
NZ_CP012001.1	2783544	2784472	CRISPRDetect
NZ_CP011327.1	942126	942691	CRISPRDetect
NZ_FO818640.1	1879219	1880126	CRISPRDetect
NZ_FO818640.1	1884751	1885084	CRISPRDetect
NZ_FO818640.1	3904508	3907601	CRISPRDetect
NZ_FO818640.1	5220614	5224335	CRISPRDetect
NZ_FO818640.1	5295804	5296881	CRISPRDetect
NC_017143.1	123152	124584	CRISPRDetect
NZ_CP009928.1	4372615	4374511	CRISPRDetect
NZ_CP011602.1	238417	238812	CRISPRDetect
NC_016112.1	1516465	1519584	CRISPRDetect
NC_016112.1	2435093	2437274	CRISPRDetect
NC_016112.1	4283753	4285860	CRISPRDetect
NZ_CP011312.1	901148	901666	CRISPRDetect
NZ_CP011312.1	905752	905964	CRISPRDetect
NZ_CP011312.1	1877364	1877941	CRISPRDetect
NZ_CP011546.1	1839143	1842018	CRISPRDetect
NZ_CP011546.1	1843536	1844725	CRISPRDetect
NZ_CP011546.1	2380318	2380646	CRISPRDetect
NZ_CP010867.1	941625	941925	CRISPRDetect
NZ_CP007559.2	986599	987847	CRISPRDetect
NZ_CP007559.2	995791	997266	CRISPRDetect
NZ_CP007559.2	1615585	1616215	CRISPRDetect
NZ_LN829119.1	3470364	3472100	CRISPRDetect
NZ_CP010276.2	206481	207008	CRISPRDetect
NZ_CP010276.2	211319	211490	CRISPRDetect
NZ_CP010276.2	1726885	1728371	CRISPRDetect
NZ_CP011938.1	2696727	2697000	CRISPRDetect
NZ_CP011938.1	2715233	2716056	CRISPRDetect
NZ_LN829118.1	2301730	2303466	CRISPRDetect
NZ_CP012022.2	25684	26018	CRISPRDetect
NZ_CP012022.2	1837536	1837748	CRISPRDetect
NZ_LT904868.1	947711	948132	CRISPRDetect
NZ_CP007685.1	524160	524901	CRISPRDetect
NZ_CP007685.1	2682364	2684184	CRISPRDetect
NZ_CP011095.1	27310	27523	CRISPRDetect
NZ_CP011095.1	1891938	1893066	CRISPRDetect
NZ_CP007684.1	1455706	1456447	CRISPRDetect
NZ_CP007684.1	2642302	2644453	CRISPRDetect
NZ_LT904777.1	990036	990457	CRISPRDetect
NZ_CP011217.1	649756	650848	CRISPRDetect
NZ_CP011217.1	897843	898096	CRISPRDetect
NZ_CP011217.1	1383838	1384868	CRISPRDetect
NC_013364.1	3445983	3446256	CRISPRDetect
NC_013364.1	3471957	3472352	CRISPRDetect
NZ_CP010444.1	3616777	3617540	CRISPRDetect
NZ_CP010444.1	3643089	3643484	CRISPRDetect
NZ_LN832404.1	2874005	2874768	CRISPRDetect
NZ_LN832404.1	2900317	2900712	CRISPRDetect
NZ_CP011322.1	2863794	2864557	CRISPRDetect
NZ_CP011322.1	2890106	2890501	CRISPRDetect
NZ_CP007810.1	4364216	4369121	CRISPRDetect
NZ_LT904876.1	1019249	1019670	CRISPRDetect
NZ_CP013610.1	767269	768626	CRISPRDetect
NZ_CP011099.1	1041692	1042862	CRISPRDetect
NZ_CP011144.1	1489090	1489287	CRISPRDetect
NZ_CP012066.1	4382833	4383581	CRISPRDetect
NZ_CP015093.1	2040159	2041470	CRISPRDetect
NZ_CP015093.1	2042909	2044341	CRISPRDetect
NZ_CP012390.1	1007630	1009393	CRISPRDetect
NZ_CP012390.1	1064866	1066056	CRISPRDetect
NZ_CP016651.1	959492	959726	CRISPRDetect
NZ_CP016651.1	959926	960160	CRISPRDetect
NZ_CP028172.1	2976460	2977893	CRISPRDetect
NZ_CP028172.1	2994457	2995523	CRISPRDetect
NC_008554.1	1684126	1689169	CRISPRDetect
NC_008554.1	3478587	3478735	CRISPRDetect
NC_008554.1	3489022	3493874	CRISPRDetect
NC_008750.1	2522576	2524106	CRISPRDetect
NC_008750.1	3946758	3947806	CRISPRDetect
NZ_CP023633.1	3118977	3120261	CRISPRDetect
NZ_CP023633.1	3121654	3123369	CRISPRDetect
NC_007333.1	1456445	1460504	CRISPRDetect
NC_007333.1	1529590	1530721	CRISPRDetect
NC_007333.1	1536216	1537467	CRISPRDetect
NC_007333.1	1692184	1693863	CRISPRDetect
NC_007333.1	1827206	1829008	CRISPRDetect
NC_007333.1	1838904	1839604	CRISPRDetect
NC_007333.1	2108024	2108295	CRISPRDetect
NC_007333.1	2295386	2296470	CRISPRDetect
NC_007333.1	3258508	3258659	CRISPRDetect
NC_007333.1	3447567	3448391	CRISPRDetect
NC_007333.1	3449780	3452372	CRISPRDetect
NZ_CP017844.1	2334461	2335142	CRISPRDetect
NZ_CP017844.1	2361033	2362160	CRISPRDetect
NZ_CP010125.1	3499292	3499626	CRISPRDetect
NZ_CP010125.1	3525323	3525840	CRISPRDetect
NZ_CP021703.1	873658	874211	CRISPRDetect
NZ_CP021703.1	878857	880715	CRISPRDetect
NZ_CP021703.1	890817	893047	CRISPRDetect
NC_012563.1	1179524	1179878	CRISPRDetect
NC_012563.1	2455808	2456101	CRISPRDetect
NC_012563.1	2459891	2460116	CRISPRDetect
NC_012563.1	2563316	2563805	CRISPRDetect
NC_017628.1	933764	934274	CRISPRDetect
NC_017628.1	943332	943721	CRISPRDetect
NZ_AP018180.1	1436890	1437069	CRISPRDetect
NZ_AP018180.1	1474809	1475202	CRISPRDetect
NZ_AP018180.1	1767600	1769104	CRISPRDetect
NZ_AP018180.1	1993462	1996495	CRISPRDetect
NZ_AP018180.1	2006898	2007445	CRISPRDetect
NZ_AP018180.1	5303079	5304281	CRISPRDetect
NZ_AP018180.1	6601102	6601350	CRISPRDetect
NZ_AP018180.1	7761564	7761811	CRISPRDetect
NZ_CP019409.1	2935578	2936033	CRISPRDetect
NZ_CP019409.1	2952658	2953235	CRISPRDetect
NZ_CP009182.1	3119185	3120469	CRISPRDetect
NZ_CP009182.1	3121862	3123577	CRISPRDetect
NC_006511.1	2889568	2889903	CRISPRDetect
NC_006511.1	2906454	2906665	CRISPRDetect
NZ_CP028927.1	362107	364237	CRISPRDetect
NZ_CP028927.1	1321395	1321629	CRISPRDetect
NZ_CP028927.1	2128875	2130917	CRISPRDetect
NZ_CP010116.1	4240889	4241589	CRISPRDetect
NZ_CP010116.1	4270075	4271080	CRISPRDetect
NZ_CP013662.1	973941	974089	CRISPRDetect
NZ_CP013662.1	3259003	3259582	CRISPRDetect
NZ_CP019734.1	1217609	1217945	CRISPRDetect
NZ_CP030753.1	238647	239454	CRISPRDetect
NZ_CP023434.1	917699	918337	CRISPRDetect
NZ_CP015412.1	738659	740036	CRISPRDetect
NZ_CP015412.1	740720	741409	CRISPRDetect
NZ_CP015412.1	742311	744800	CRISPRDetect
NZ_CP015412.1	755475	757003	CRISPRDetect
NZ_CP019164.1	2464365	2464975	CRISPRDetect
NZ_CP020769.1	20195	20953	CRISPRDetect
NZ_CP019629.1	2879297	2880060	CRISPRDetect
NZ_CP019629.1	2905609	2906004	CRISPRDetect
NZ_CP023415.1	1226924	1228113	CRISPRDetect
NZ_CP031660.1	1504399	1504907	CRISPRDetect
NZ_CP031660.1	2855484	2856771	CRISPRDetect
NZ_CP031660.1	2865295	2866403	CRISPRDetect
NZ_CP019290.1	2856086	2857734	CRISPRDetect
NZ_CP014142.1	66315	66499	CRISPRDetect
NZ_CP014142.1	66527	67227	CRISPRDetect
NZ_CP011158.1	53239	53593	CRISPRDetect
NZ_CP011158.1	903972	905052	CRISPRDetect
NC_011083.1	3051216	3052880	CRISPRDetect
NC_011083.1	3069138	3070264	CRISPRDetect
NZ_CP007523.1	3761409	3762214	CRISPRDetect
NZ_CP007523.1	3778346	3780449	CRISPRDetect
NZ_CP011343.2	2852578	2853341	CRISPRDetect
NZ_CP011343.2	2878890	2879285	CRISPRDetect
NZ_CP017032.1	1501667	1501835	CRISPRDetect
NZ_CP014999.1	5681102	5683720	CRISPRDetect
NZ_CP027306.1	6635922	6636127	CRISPRDetect
NZ_CP020400.2	599197	601904	CRISPRDetect
NZ_CP012681.1	2337808	2338376	CRISPRDetect
NZ_CP012681.1	3030118	3031900	CRISPRDetect
NZ_CP012681.1	3048031	3049524	CRISPRDetect
NZ_CP016895.1	1969893	1970101	CRISPRDetect
NZ_CP021934.1	675149	676045	CRISPRDetect
NZ_CP021934.1	1468928	1473502	CRISPRDetect
NZ_LT904891.1	1534841	1535263	CRISPRDetect
NZ_LT904891.1	4120962	4121530	CRISPRDetect
NZ_CP018313.1	94714	95835	CRISPRDetect
NZ_CP026569.1	941006	941645	CRISPRDetect
NZ_CP026569.1	957797	958315	CRISPRDetect
NZ_CP026569.1	1583177	1583745	CRISPRDetect
NZ_LT904884.1	948384	948780	CRISPRDetect
NZ_LT904884.1	1575169	1575737	CRISPRDetect
NZ_CP009175.1	3119185	3120469	CRISPRDetect
NZ_CP009175.1	3121938	3123577	CRISPRDetect
NZ_CP028683.1	1119589	1119801	CRISPRDetect
NC_016856.1	3096847	3098324	CRISPRDetect
NC_016856.1	3114456	3116071	CRISPRDetect
NZ_CP012373.2	552059	552296	CRISPRDetect
NZ_CP012373.2	1966235	1966415	CRISPRDetect
NZ_CP012373.2	3500145	3500725	CRISPRDetect
NZ_CP011036.1	439953	440163	CRISPRDetect
NZ_CP026076.1	292846	292997	CRISPRDetect
NZ_CP009176.1	3119185	3120469	CRISPRDetect
NZ_CP009176.1	3121862	3123577	CRISPRDetect
NZ_CP009176.1	3940289	3940552	CRISPRDetect
NZ_CP014429.1	2312131	2312282	CRISPRDetect
NZ_CP014429.1	2436045	2436241	CRISPRDetect
NZ_CP024067.1	1459217	1460060	CRISPRDetect
NZ_CP011098.1	1041678	1042848	CRISPRDetect
NC_022538.1	311136	314271	CRISPRDetect
NC_013210.1	123524	124956	CRISPRDetect
NZ_CP011047.1	129532	129801	CRISPRDetect
NZ_CP011047.1	1571594	1571729	CRISPRDetect
NZ_CP011047.1	4280984	4281440	CRISPRDetect
NZ_CP011309.1	900565	900715	CRISPRDetect
NZ_CP009922.3	4434670	4434858	CRISPRDetect
NZ_CP009922.3	4646401	4646602	CRISPRDetect
NZ_CP009922.3	4961964	4963214	CRISPRDetect
NZ_CP009922.3	4973327	4974208	CRISPRDetect
NZ_CP011114.1	598468	598839	CRISPRDetect
NZ_CP011114.1	600041	601411	CRISPRDetect
NZ_CP011114.1	602581	603821	CRISPRDetect
NZ_CP011114.1	603997	604298	CRISPRDetect
NZ_CP011114.1	605813	606044	CRISPRDetect
NZ_CP011114.1	614690	615735	CRISPRDetect
NZ_CP011114.1	624951	626850	CRISPRDetect
NZ_CP010904.1	2341675	2342499	CRISPRDetect
NZ_CP010904.1	2345058	2346147	CRISPRDetect
NZ_CP010904.1	2430825	2433234	CRISPRDetect
NZ_LN831776.1	1592755	1594918	CRISPRDetect
NZ_LN831776.1	1603409	1605507	CRISPRDetect
NZ_LN831776.1	1613926	1617064	CRISPRDetect
NZ_LN831776.1	1619873	1622027	CRISPRDetect
NZ_LN831776.1	4508962	4509125	CRISPRDetect
NZ_CP007672.1	2233878	2234029	CRISPRDetect
NZ_CP007672.1	2357791	2357987	CRISPRDetect
NZ_CP011280.1	588429	589279	CRISPRDetect
NZ_CP007676.1	2234543	2234694	CRISPRDetect
NZ_CP008776.1	598749	599044	CRISPRDetect
NZ_CP008776.1	1059131	1059368	CRISPRDetect
NZ_CP007204.1	879403	880297	CRISPRDetect
